"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
400767	224	31	33	0	171	11	0	0	0	0	
400945	2581	859	148	0	2246	672	0	0	0	0	
401148	4189	684	280	0	4254	1029	0	0	0	0	
401447	337	103	13	0	282	61	0	0	0	0	
401559	614	0	3	0	611	0	0	0	0	0	
401755	931	256	2	0	696	23	0	0	0	0	
401906	4029	660	240	0	3978	849	0	0	0	0	
401951	158	0	0	0	167	9	0	0	0	0	
402462	105	-49	49	0	106	1	0	0	0	0	
402837	864	100	91	0	799	126	0	0	0	0	
402846	282	30	1	0	304	53	0	0	0	0	
402949	840	252	23	0	831	266	0	0	0	0	
403058	941	120	7	0	825	11	0	0	0	0	
403067	1251	335	1	0	1107	192	0	0	0	0	
403106	2274	558	17	0	1734	35	0	0	0	0	
403151	3398	379	193	0	3188	362	0	0	0	0	
403254	244	5	4	0	244	9	0	0	0	0	
403348	443	30	20	0	504	111	0	0	0	0	
403357	269	0	52	0	243	26	0	0	0	0	
403553	776	0	9	0	814	47	0	0	0	0	
403656	253	165	94	0	272	278	0	0	0	0	
403937	153	72	5	0	253	177	0	0	0	0	
403946	3953	744	24	0	3431	246	0	0	0	0	
404653	110	-21	95	0	116	80	0	0	0	0	
404774	47	0	0	0	47	0	0	0	0	0	
404943	698	69	107	0	592	70	0	0	0	0	
405061	569	8	11	0	569	19	0	0	0	0	
405641	2883	336	62	0	2711	226	0	0	0	0	
405744	2411	397	139	0	2451	424	-152	0	0	0	
405959	8385	2775	1051	0	8108	3549	0			0	
406022	1451	95	68	0	1339	51	0	0	0	0	
406059	441	400	18	0	564	541	0	0	0	0	
406255	639	0	2	0	637	0	0	0	0	0	
406349	1715	140	175	0	1612	212	0	0	0	0	
