RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,2620,0,1453,0,0,1370,0,0,65,1102,0,0,0,,44741,2012-09-30
,,,,,,,,,,,,,526,0,92,0,0,14,78,0,269,165,0,0,0,,44750,2012-09-30
,,,,,,,,,,,,,1807,0,237,1366,0,226,0,0,69,135,0,0,0,,44929,2012-09-30
,,,,,,,,,,,,,402,0,0,44,0,0,0,0,71,287,0,0,0,,45038,2012-09-30
,,,,,,,,,,,,,387,0,126,0,72,0,0,0,44,217,0,0,0,,45047,2012-09-30
,,,,,,,,,,,,,575,0,0,272,0,0,0,0,17,286,0,0,0,,45056,2012-09-30
,,,,,,,,,,,,,1947,0,1624,0,0,0,0,0,80,243,0,1622,0,,45430,2012-09-30
,,,,,,,,,,,,,27,0,6,0,3,0,0,0,3,18,0,3,0,,45458,2012-09-30
,,,,,,,,,,,,,4153,0,2164,23,0,0,0,0,294,1672,0,1545,0,,45551,2012-09-30
,,,,,,,,,,,,,7971,366,4123,0,0,0,0,0,80,3768,0,3756,0,,45560,2012-09-30
,,,,,,,,,,,,,1497,0,1478,0,0,0,0,0,19,0,0,1028,0,,45775,2012-09-30
,,,,,,,,,,,,,1099,0,564,0,270,0,0,0,251,284,0,285,0,,46053,2012-09-30
,,,,,,,,,,,,,495,0,0,50,0,0,0,0,112,333,0,0,0,,46941,2012-09-30
,,,,,,,,,,,,,128,0,0,63,0,0,0,0,38,27,0,0,0,,47153,2012-09-30
,,,,,,,,,,,,,639,0,183,0,0,0,0,0,180,276,0,183,0,,47247,2012-09-30
,,,,,,,,,,,,,31,0,0,0,0,0,0,0,16,15,0,0,0,,47256,2012-09-30
,,,,,,,,,,,,,504,0,263,205,208,0,0,0,35,1,0,0,0,,47452,2012-09-30
,,,,,,,,,,,,,1302,0,447,0,0,332,0,0,13,584,258,0,0,,47500,2012-09-30
,,,,,,,,,,,,,1951,0,1196,469,0,0,0,0,112,174,0,1196,0,,48057,2012-09-30
