RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,152374,2014-06-30
,,,,,,,152431,2014-06-30
,,,,,,,152440,2014-06-30
,,,,,,,152646,2014-06-30
,,,,,,,153054,2014-06-30
,,,,,,,153353,2014-06-30
,,,,,,,154154,2014-06-30
,,,,,,,154257,2014-06-30
,,,,,,,154770,2014-06-30
,,,,,,,155245,2014-06-30
,,,,,,,155517,2014-06-30
,,,,,,,155759,2014-06-30
,,,,,,,155777,2014-06-30
,,,,,,,156457,2014-06-30
,,,,,,,156635,2014-06-30
,,,,,,,156952,2014-06-30
,,,,,,,156970,2014-06-30
,,,,,,,157155,2014-06-30
,,,,,,,157379,2014-06-30
,,,,,,,157650,2014-06-30
,,,,,,,157744,2014-06-30
,,,,,,,157856,2014-06-30
,,,,,,,157904,2014-06-30
,,,,,,,158376,2014-06-30
,,,,,,,158741,2014-06-30
,,,,,,,158750,2014-06-30
,,,,,,,158974,2014-06-30
,,,,,,,159636,2014-06-30
