"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
89452	405	45	1	22	0	381	
89751	1976	175	62	83	0	1822	
89854	742	5	7	7	0	737	
89957	170	27	2	44	0	185	
90047	182	0	0	2	0	184	
90159	415	15	0	2	0	402	
90234	2774	0	3	1	0	2772	
90252	148	0	13	15	0	150	
90328	1834	75	32	34	0	1761	
90337	1885	55	27	34	0	1837	
90403	16529	623	801	85	0	15190	
90467	1041	0	0	0	0	1041	
90627	1388	9	3	5	0	1381	
90645	456	0	0	0	0	456	
90739	969	24	22	23	0	946	
91129	192	6	3	5	0	188	
91147	565	23	1	6	0	547	
91156	1771	70	13	6	0	1694	
91259	505	30	19	127	0	583	
91521	2788	250	24	322	0	2836	
91615	335	20	0	5	0	320	
91651	525	15	3	0	0	507	
91754	412	34	3	5	0	380	
91866	2336	90	3	0	0	2243	
91950	403	0	3	0	0	400	
91969	2933	277	1	0	0	2655	
92050	275	9	1	50	0	315	
92144	319	0	8	0	0	311	
92162	634	20	6	21	0	629	
92630	3447	150	38	7	0	3266	
92658	12665	176	102	247	0	12634	
92706	1050	0	3	44	0	1091	
92854	212	31	5	0	0	176	
92902	132	0	1	3	0	134	
93039	850	50	0	19	0	819	
93244	556	30	0	10	0	536	
93329	402	18	3	7	0	388	
93413	2887	0	9	31	0	2909	
93543	1679	180	19	191	0	1671	
93619	0	0	0	0	0	0	
93628	1056	18	5	7	0	1040	
93721	35991	549	320	755	0	35877	
93758	343	40	35	86	0	354	
94139	1850	52	139	141	0	1800	
94447	784	6	0	58	0	836	
94456	360	21	8	0	0	331	
94522	1708	63	78	101	0	1668	
94661	5372	0	104	456	0	5724	
94755	620	30	18	17	0	589	
94858	333	5	1	25	0	352	
95051	746	114	5	42	0	669	
95659	271	18	3	13	0	263	
95725	1558	55	23	49	0	1529	
95855	459	20	14	28	0	453	
96254	874	25	1	4	0	852	
96357	795	76	17	52	0	754	
96553	536	60	0	0	0	476	
97037	3784	150	0	183	0	3817	
97055	200	5	0	0	0	195	
97260	1575	97	49	69	0	1498	
97279	146	0	0	1	0	147	
97457	144	3	0	1	0	142	
