RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,193,,,107,,,,0,0,0,0,,,,,,,27070,2017-06-30
189,1,110,187,,,,,57,,,,,,,,7000,0,0,0,false,93,0,0,24,157,19,102,770,152,1247,86,343,543,228,0,0,0,0,,,,,79,497,27548,2017-06-30
208,,152,,,,,,151,146,,,,,,,0,0,0,0,false,109,0,0,,,,,705,,445,,143,,141,0,0,0,0,,,,,,,27614,2017-06-30
160,0,65,15,,,,,129,525,61,,,,,,0,0,0,0,false,72,0,0,21,143,25,557,174,137,0,45,0,186,98,0,0,0,0,,,,14,42,,27847,2017-06-30
529,,1368,,,,,,286,319,,,,,,,3822,512,0,0,false,,0,0,,3468,,,1756,,375,717,486,341,,0,0,0,0,,,,,,,28013,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,114,,,,,,,0,0,0,0,,,,,,,28152,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,157,0,140,100,0,114,0,0,0,0,0,,,,0,0,0,28255,2017-06-30
923,0,649,0,,1531,5947,-329,469,746,0,,,,,,0,2568,0,0,false,0,-27,0,0,518,0,0,1647,250,559,442,615,382,0,0,0,0,0,,,,,0,0,28406,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,153,,,,,,,0,0,0,0,,,,,,,28675,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,178,,,,112,,,0,0,0,0,,,,,,,28732,2017-06-30
,,22,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,15,,50,,,,0,0,0,0,,,,,,,29476,2017-06-30
390,,,,,162,,,256,201,143,,,,,,0,0,0,0,false,262,0,0,,240,,,,422,1126,162,201,204,276,0,0,0,0,,,,,235,,29636,2017-06-30
282,,750,95,,47,,,1528,641,948,,,,,,0,0,0,0,false,55,0,0,2,,89,81,604,165,,268,225,,117,0,0,0,0,,,,3,153,197,29878,2017-06-30
0,0,0,0,,102,73,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,30052,2017-06-30
132,0,0,0,,261,135,119,451,300,0,,,,,,0,0,0,0,false,124,0,0,0,0,0,0,384,0,763,0,119,327,187,0,0,0,0,,,,0,0,0,30502,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,153,,,,,,,0,0,0,0,,,,,,,30650,2017-06-30
332879,0,0,0,,126408,21520,-25675,420972,53648,61906,,,,,,0,0,-1785,0,false,37936,0,0,0,0,0,0,0,0,316132,0,34883,0,0,0,0,0,0,,,,0,0,0,30810,2017-06-30
,,,,,20,47,,36,,,,,,,,0,0,0,0,false,29,0,0,,,10,30,304,38,145,65,,,83,0,0,0,0,,,,,,,31134,2017-06-30
0,0,149,0,,127,0,0,158,344,0,,,,,,0,0,0,0,true,0,0,0,0,148,0,0,294,0,0,117,0,0,0,0,0,0,0,,,,0,0,0,31255,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,186,290,,,,,,,0,0,0,0,,,,,,,31657,2017-06-30
59,,92,32,,,,,249,,,,,,,,0,0,0,0,false,19,0,0,,,,,,61,235,48,,165,36,0,0,0,0,,,,,,,31826,2017-06-30
0,0,122,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,31835,2017-06-30
,,,,,,,,292,,,,,,,,3200,0,-279,0,false,,0,0,,,,,133,,,,,,,0,0,0,0,,,,,,,32234,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,32766,2017-06-30
0,0,104,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,271,516,0,0,114,0,161,0,0,0,0,0,,,,0,0,0,32971,2017-06-30
132,,,,,593,,,264,,,,,,,,0,0,0,0,false,,0,0,,,,,436,,,,,157,,0,0,0,0,,,,,,,33147,2017-06-30
,,,,,588,,,330,123,,,,,,,0,0,0,0,false,,306,0,,,,,660,,296,,,123,,0,0,0,0,,,,,588,,33259,2017-06-30
58,0,17,17,,59,0,0,17,26,18,,,,,,0,0,0,0,false,20,0,0,5,65,5,0,105,29,153,50,32,101,83,0,0,0,0,,,,0,0,0,33268,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,-2,0,,,,,,,,,,,,0,0,0,0,,,,,,,33370,2017-06-30
9,0,16,2,,0,0,0,1,2,4,,,,,,0,0,0,0,false,5,0,0,1,0,3,11,47,9,0,6,1,2,2,0,0,0,0,,,,0,0,0,33839,2017-06-30
197,1,,,,,,,431,,,,,,,,0,0,0,0,false,,0,0,,,,3,455,,,,,,,0,0,0,0,,,,,,,33857,2017-06-30
