RCFDJJ04,RCFDJJ05,RCFDJJ06,RCFDJJ07,RCFDJJ08,RCFDJJ09,RCFDJJ11,RCFDJJ12,RCFDJJ13,RCFDJJ14,RCFDJJ15,RCFDJJ16,RCFDJJ17,RCFDJJ18,RCFDJJ19,RCFDJJ20,RCFDJJ21,RCFDJJ23,RCFDJJ24,RCFDJJ25,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,77150,2012-06-30
,,,,,,,,,,,,,,,,,,,,77253,2012-06-30
,,,,,,,,,,,,,,,,,,,,77422,2012-06-30
,,,,,,,,,,,,,,,,,,,,77758,2012-06-30
,,,,,,,,,,,,,,,,,,,,77851,2012-06-30
,,,,,,,,,,,,,,,,,,,,78036,2012-06-30
,,,,,,,,,,,,,,,,,,,,78157,2012-06-30
,,,,,,,,,,,,,,,,,,,,78241,2012-06-30
,,,,,,,,,,,,,,,,,,,,78559,2012-06-30
,,,,,,,,,,,,,,,,,,,,78858,2012-06-30
,,,,,,,,,,,,,,,,,,,,79042,2012-06-30
