RCFD3561,RCFD3562,RCFD7701,RCFD7702,IDRSSD,RCON9999
,,,,124773,2003-12-31
,,,,124830,2003-12-31
,,,,125154,2003-12-31
,,,,125453,2003-12-31
,,,,125855,2003-12-31
,,,,125958,2003-12-31
,,,,126012,2003-12-31
,,,,126049,2003-12-31
,,,,126254,2003-12-31
,,,,126553,2003-12-31
,,,,126740,2003-12-31
,,,,126834,2003-12-31
,,,,126955,2003-12-31
,,,,127055,2003-12-31
,,,,127224,2003-12-31
,,,,127260,2003-12-31
,,,,127701,2003-12-31
,,,,128164,2003-12-31
,,,,128258,2003-12-31
0,0,0.0000,0.0000,128511,2003-12-31
,,,,128904,2003-12-31
,,,,128959,2003-12-31
,,,,129349,2003-12-31
,,,,129358,2003-12-31
,,,,129394,2003-12-31
,,,,129479,2003-12-31
,,,,129732,2003-12-31
,,,,129853,2003-12-31
,,,,129910,2003-12-31
,,,,130345,2003-12-31
,,,,130541,2003-12-31
,,,,130635,2003-12-31
,,,,130813,2003-12-31
1,147,0.0500,0.0500,130943,2003-12-31
,,,,131034,2003-12-31
,,,,131155,2003-12-31
,,,,131173,2003-12-31
,,,,131351,2003-12-31
,,,,131360,2003-12-31
,,,,131418,2003-12-31
,,,,131436,2003-12-31
,,,,131650,2003-12-31
,,,,131717,2003-12-31
,,,,131753,2003-12-31
,,,,131940,2003-12-31
,,,,132107,2003-12-31
,,,,132152,2003-12-31
,,,,132219,2003-12-31
,,,,132376,2003-12-31
,,,,132442,2003-12-31
,,,,132451,2003-12-31
,,,,132554,2003-12-31
,,,,132778,2003-12-31
,,,,132853,2003-12-31
,,,,132938,2003-12-31
,,,,133243,2003-12-31
,,,,133270,2003-12-31
,,,,133850,2003-12-31
,,,,133971,2003-12-31
,,,,134156,2003-12-31
,,,,134400,2003-12-31
,,,,134437,2003-12-31
,,,,134455,2003-12-31
,,,,134848,2003-12-31
,,,,135359,2003-12-31
,,,,135751,2003-12-31
,,,,135836,2003-12-31
,,,,135854,2003-12-31
,,,,136048,2003-12-31
,,,,136338,2003-12-31
,,,,136459,2003-12-31
,,,,136655,2003-12-31
,,,,137120,2003-12-31
,,,,137205,2003-12-31
,,,,137447,2003-12-31
,,,,137456,2003-12-31
,,,,137559,2003-12-31
,,,,137643,2003-12-31
,,,,137652,2003-12-31
,,,,137821,2003-12-31
,,,,137915,2003-12-31
,,,,138051,2003-12-31
,,,,138163,2003-12-31
,,,,138211,2003-12-31
,,,,138257,2003-12-31
,,,,138350,2003-12-31
,,,,138556,2003-12-31
,,,,138725,2003-12-31
,,,,138752,2003-12-31
,,,,138930,2003-12-31
,,,,139133,2003-12-31
,,,,139432,2003-12-31
,,,,139478,2003-12-31
