RIAD3210,RIAD3217,RIAD4356,RIAD4415,RIAD4460,RIAD4470,RIADB507,RIADB508,RIADB509,RIADB510,RIADB511,IDRSSD,RCON9999
15732,14665,0,0,400,0,0,14665,0,0,198,368933,2019-09-30
22433,19958,0,0,1004,0,0,19958,0,0,1116,368951,2019-09-30
15768,13755,0,0,148,0,0,13755,0,0,1154,369453,2019-09-30
86013,81863,0,0,13034,0,0,81863,0,0,1323,369659,2019-09-30
47206,37960,0,6000,400,0,0,37960,0,0,711,370020,2019-09-30
3662213,3557268,0,-177288,357712,0,0,3557268,1956,0,251011,370271,2019-09-30
12891,12044,0,0,540,0,0,12044,0,0,317,370347,2019-09-30
21769,20011,0,0,255,0,0,20011,0,0,579,370721,2019-09-30
4430,4085,0,200,0,0,0,4085,0,0,16,370833,2019-09-30
9529,8559,0,0,813,0,0,8559,0,0,293,370954,2019-09-30
16847,17681,0,0,455,0,0,17681,0,0,-2378,371223,2019-09-30
19470,17926,0,0,440,0,0,17926,0,0,509,371232,2019-09-30
49486,46025,0,0,1862,0,0,46025,0,0,2412,371362,2019-09-30
16198,14375,0,0,705,0,0,14375,0,0,959,371559,2019-09-30
7335,5965,0,0,60,0,0,5965,0,0,1265,371755,2019-09-30
6482,5808,0,0,20,0,0,5808,0,0,490,371849,2019-09-30
144355,134220,0,0,3912,0,0,134220,0,0,4481,371924,2019-09-30
12635,11373,0,0,77,0,0,11373,0,0,333,371942,2019-09-30
9465,8644,0,0,270,0,0,8644,0,0,436,372444,2019-09-30
111773,106896,0,0,0,0,0,106896,0,0,645,372538,2019-09-30
17340,15593,0,0,725,0,0,15593,0,0,769,372640,2019-09-30
9209,8135,0,0,0,0,0,8135,150,0,659,372855,2019-09-30
116839,107854,0,0,5400,0,0,107854,399,0,4839,373115,2019-09-30
4628,5127,0,0,0,0,-40,5087,0,0,0,373272,2019-09-30
7777,7683,0,0,487,0,0,7683,0,0,0,373553,2019-09-30
249589,245523,0,0,0,0,0,245523,0,0,992,373601,2019-09-30
15216,13705,0,0,99,0,0,13705,0,0,433,374130,2019-09-30
11728,6353,4936,0,0,0,0,6353,0,0,40,374354,2019-09-30
291357,269230,0,0,10920,0,0,269230,0,0,5739,374653,2019-09-30
14433,12971,0,0,604,0,0,12971,0,0,716,374774,2019-09-30
218788,211739,0,0,11000,0,0,211739,0,0,5905,375034,2019-09-30
114611,111014,0,0,8168,0,0,111014,0,0,1115,375043,2019-09-30
3988,3825,0,0,0,0,5,3830,0,0,190,375379,2019-09-30
127843,117616,0,0,0,0,0,117616,1194,0,814,375502,2019-09-30
50817,48612,0,0,3167,0,0,48612,0,0,420,375566,2019-09-30
5291,4676,0,0,0,0,0,4676,0,0,369,375650,2019-09-30
7584,6902,0,0,0,0,0,6902,0,0,217,376237,2019-09-30
255439,248697,0,0,0,0,0,248697,0,0,-2342,376273,2019-09-30
58552,53429,0,0,0,0,0,53429,0,0,746,376442,2019-09-30
25028,23020,0,0,0,0,0,23020,0,0,146,376947,2019-09-30
10173,8652,0,0,354,0,0,8652,0,0,1069,377663,2019-09-30
4969,4844,0,0,146,0,0,4844,0,0,44,377850,2019-09-30
350247,322775,0,0,3750,0,0,322775,0,0,1209,377908,2019-09-30
2913,2735,0,0,0,0,0,2735,0,0,63,378044,2019-09-30
5910,5478,0,0,0,0,0,5478,0,0,227,378110,2019-09-30
